id,x,y,demand,et,lt,llt
d1,41.8,51.3,0,0,100,100
d2,66.5,41.8,0,0,100,100
s1,45,21,0,0,100,100
s2,65,70,0,0,100,100
c1,17.1,81.7,270,0.5,1,1.5
c2,13.3,28.5,145,3,4,5
c3,39.9,13.3,90,2.5,3,4
c4,24.7,13.3,90,7,8,10
c5,26.6,24.7,115,8,9,10.5
c6,47.5,28.5,180,10,11,13
c7,76,87.4,105,6.5,7,9.5
c8,72.2,76,95,6,6.5,8
c9,87.4,76,90,7,8,10
c10,81.7,68.4,100,5,6,8
c11,66.5,17.1,100,1,1.5,4
c12,81.7,11.4,150,2,3,5
c13,19,39.9,220,3.5,4,5.5
c14,13.3,64.6,210,1.5,2,4
c15,87.4,28.5,150,1,2.5,4
c16,28.5,81.7,255,11,12,14
c17,20.9,49.4,105,4,4.5,6
c18,57,79.8,195,12,12.5,15
c19,55.1,38,240,3,3.5,6
c20,58.9,47.5,250,2,2.5,5
