Type,x,y,demand,ReadyTime,DueDate,tolerate
d,38,22,0,0,1000,1000
d,18,32,0,0,1000,1000
d,30,40,0,0,1000,1000
d,26,16,0,0,1000,1000
f,41,32,0,0,1000,1000
f,42,55,0,0,1000,1000
f,23,55,0,0,1000,1000
f,18,41,0,0,1000,1000
f,5,39,0,0,1000,1000
f,14,20,0,0,1000,1000
f,24,25,0,0,1000,1000
f,26,6,0,0,1000,1000
f,40,13,0,0,1000,1000
f,33,45,0,0,1000,1000
c,41,49,10,16,82,107
c,35,17,7,18,86,145
c,20,50,5,32,100,139
c,10,43,9,71,145,219
c,30,25,23,12,103,187
c,15,10,20,74,144,197
c,30,5,8,61,143,201
c,10,20,19,127,198,245
c,5,30,2,150,210,289
c,20,40,12,83,163,212
c,45,10,18,65,167,209
c,45,30,17,134,169,207
c,35,40,16,99,177,231
c,41,37,16,157,241,298
c,31,52,27,91,146,193
c,20,20,8,250,297,346
c,40,25,9,315,369,401
c,42,7,5,390,423,479
c,24,12,5,41,123,187
c,23,3,7,190,245,298
c,11,14,18,105,202,298
c,6,38,16,134,189,270
c,13,52,36,160,205,293
c,27,43,9,86,147,224
c,37,31,14,45,134,193
c,32,12,7,73,182,208
c,36,26,18,190,241,293
c,17,34,3,89,172,247
c,37,47,6,68,129,275
c,37,56,5,22,105,189
c,44,17,9,78,169,243
c,15,47,16,97,194,269
c,14,37,11,45,127,190
c,11,31,7,34,145,207
c,28,18,26,130,201,293
c,26,52,9,87,164,284
c,26,35,15,92,177,256
c,15,19,1,63,154,234
c,26,27,27,194,283,345
c,22,27,11,74,174,256
